jump_penalty,rebalance_date,bull_state_by_train_cum_excess,bear_state_by_train_cum_excess
0.0,2000-05-26,0,1
0.0,2000-11-27,0,1
0.0,2001-05-29,0,1
0.0,2001-11-29,0,1
0.0,2002-05-29,0,1
0.0,2002-11-29,0,1
0.0,2003-05-29,0,1
0.0,2003-12-01,0,1
0.0,2004-06-01,0,1
0.0,2004-12-01,0,1
0.0,2005-06-01,0,1
0.0,2005-12-01,0,1
0.0,2006-06-01,0,1
0.0,2006-12-01,0,1
0.0,2007-06-01,0,1
0.0,2007-12-03,0,1
0.0,2008-06-03,0,1
0.0,2008-12-03,0,1
0.0,2009-06-03,0,1
0.0,2009-12-03,0,1
0.0,2010-06-03,0,1
0.0,2010-12-03,0,1
0.0,2011-06-03,0,1
0.0,2011-12-05,0,1
0.0,2012-06-05,0,1
0.0,2012-12-05,0,1
0.0,2013-06-05,0,1
0.0,2013-12-05,0,1
0.0,2014-06-05,0,1
0.0,2014-12-05,0,1
0.0,2015-06-05,0,1
0.0,2015-12-07,0,1
0.0,2016-06-07,0,1
0.0,2016-12-07,0,1
0.0,2017-06-07,0,1
0.0,2017-12-07,0,1
0.0,2018-06-07,0,1
0.0,2018-12-07,0,1
0.0,2019-06-07,0,1
0.0,2019-12-09,0,1
0.0,2020-06-09,0,1
0.0,2020-12-09,0,1
0.0,2021-06-09,0,1
0.0,2021-12-09,0,1
0.0,2022-06-09,0,1
0.0,2022-12-09,0,1
0.0,2023-06-09,0,1
0.0,2023-12-11,0,1
0.0,2024-06-11,0,1
0.0,2024-12-11,0,1
0.0,2025-06-11,0,1
0.0,2025-12-11,0,1
5.0,2000-05-26,0,1
5.0,2000-11-27,0,1
5.0,2001-05-29,0,1
5.0,2001-11-29,0,1
5.0,2002-05-29,0,1
5.0,2002-11-29,0,1
5.0,2003-05-29,0,1
5.0,2003-12-01,0,1
5.0,2004-06-01,0,1
5.0,2004-12-01,0,1
5.0,2005-06-01,0,1
5.0,2005-12-01,0,1
5.0,2006-06-01,0,1
5.0,2006-12-01,0,1
5.0,2007-06-01,0,1
5.0,2007-12-03,0,1
5.0,2008-06-03,0,1
5.0,2008-12-03,0,1
5.0,2009-06-03,0,1
5.0,2009-12-03,0,1
5.0,2010-06-03,0,1
5.0,2010-12-03,0,1
5.0,2011-06-03,0,1
5.0,2011-12-05,0,1
5.0,2012-06-05,0,1
5.0,2012-12-05,0,1
5.0,2013-06-05,0,1
5.0,2013-12-05,0,1
5.0,2014-06-05,0,1
5.0,2014-12-05,0,1
5.0,2015-06-05,0,1
5.0,2015-12-07,0,1
5.0,2016-06-07,0,1
5.0,2016-12-07,0,1
5.0,2017-06-07,0,1
5.0,2017-12-07,0,1
5.0,2018-06-07,0,1
5.0,2018-12-07,0,1
5.0,2019-06-07,0,1
5.0,2019-12-09,0,1
5.0,2020-06-09,0,1
5.0,2020-12-09,0,1
5.0,2021-06-09,0,1
5.0,2021-12-09,0,1
5.0,2022-06-09,0,1
5.0,2022-12-09,0,1
5.0,2023-06-09,0,1
5.0,2023-12-11,0,1
5.0,2024-06-11,0,1
5.0,2024-12-11,0,1
5.0,2025-06-11,0,1
5.0,2025-12-11,0,1
10.0,2000-05-26,0,1
10.0,2000-11-27,0,1
10.0,2001-05-29,0,1
10.0,2001-11-29,0,1
10.0,2002-05-29,0,1
10.0,2002-11-29,0,1
10.0,2003-05-29,0,1
10.0,2003-12-01,0,1
10.0,2004-06-01,0,1
10.0,2004-12-01,0,1
10.0,2005-06-01,0,1
10.0,2005-12-01,0,1
10.0,2006-06-01,0,1
10.0,2006-12-01,0,1
10.0,2007-06-01,0,1
10.0,2007-12-03,0,1
10.0,2008-06-03,0,1
10.0,2008-12-03,0,1
10.0,2009-06-03,0,1
10.0,2009-12-03,0,1
10.0,2010-06-03,0,1
10.0,2010-12-03,0,1
10.0,2011-06-03,0,1
10.0,2011-12-05,0,1
10.0,2012-06-05,0,1
10.0,2012-12-05,0,1
10.0,2013-06-05,0,1
10.0,2013-12-05,0,1
10.0,2014-06-05,0,1
10.0,2014-12-05,0,1
10.0,2015-06-05,0,1
10.0,2015-12-07,0,1
10.0,2016-06-07,0,1
10.0,2016-12-07,0,1
10.0,2017-06-07,0,1
10.0,2017-12-07,0,1
10.0,2018-06-07,0,1
10.0,2018-12-07,0,1
10.0,2019-06-07,0,1
10.0,2019-12-09,0,1
10.0,2020-06-09,0,1
10.0,2020-12-09,0,1
10.0,2021-06-09,0,1
10.0,2021-12-09,0,1
10.0,2022-06-09,0,1
10.0,2022-12-09,0,1
10.0,2023-06-09,0,1
10.0,2023-12-11,0,1
10.0,2024-06-11,0,1
10.0,2024-12-11,0,1
10.0,2025-06-11,0,1
10.0,2025-12-11,0,1
15.0,2000-05-26,0,1
15.0,2000-11-27,0,1
15.0,2001-05-29,0,1
15.0,2001-11-29,0,1
15.0,2002-05-29,0,1
15.0,2002-11-29,0,1
15.0,2003-05-29,0,1
15.0,2003-12-01,0,1
15.0,2004-06-01,0,1
15.0,2004-12-01,0,1
15.0,2005-06-01,0,1
15.0,2005-12-01,0,1
15.0,2006-06-01,0,1
15.0,2006-12-01,0,1
15.0,2007-06-01,0,1
15.0,2007-12-03,0,1
15.0,2008-06-03,0,1
15.0,2008-12-03,0,1
15.0,2009-06-03,0,1
15.0,2009-12-03,0,1
15.0,2010-06-03,0,1
15.0,2010-12-03,0,1
15.0,2011-06-03,0,1
15.0,2011-12-05,0,1
15.0,2012-06-05,0,1
15.0,2012-12-05,0,1
15.0,2013-06-05,0,1
15.0,2013-12-05,0,1
15.0,2014-06-05,0,1
15.0,2014-12-05,0,1
15.0,2015-06-05,0,1
15.0,2015-12-07,0,1
15.0,2016-06-07,0,1
15.0,2016-12-07,0,1
15.0,2017-06-07,0,1
15.0,2017-12-07,0,1
15.0,2018-06-07,0,1
15.0,2018-12-07,0,1
15.0,2019-06-07,0,1
15.0,2019-12-09,0,1
15.0,2020-06-09,0,1
15.0,2020-12-09,0,1
15.0,2021-06-09,0,1
15.0,2021-12-09,0,1
15.0,2022-06-09,0,1
15.0,2022-12-09,0,1
15.0,2023-06-09,0,1
15.0,2023-12-11,0,1
15.0,2024-06-11,0,1
15.0,2024-12-11,0,1
15.0,2025-06-11,0,1
15.0,2025-12-11,0,1
20.0,2000-05-26,0,1
20.0,2000-11-27,0,1
20.0,2001-05-29,0,1
20.0,2001-11-29,0,1
20.0,2002-05-29,0,1
20.0,2002-11-29,0,1
20.0,2003-05-29,0,1
20.0,2003-12-01,0,1
20.0,2004-06-01,0,1
20.0,2004-12-01,0,1
20.0,2005-06-01,0,1
20.0,2005-12-01,0,1
20.0,2006-06-01,0,1
20.0,2006-12-01,0,1
20.0,2007-06-01,0,1
20.0,2007-12-03,0,1
20.0,2008-06-03,0,1
20.0,2008-12-03,0,1
20.0,2009-06-03,0,1
20.0,2009-12-03,0,1
20.0,2010-06-03,0,1
20.0,2010-12-03,0,1
20.0,2011-06-03,0,1
20.0,2011-12-05,0,1
20.0,2012-06-05,0,1
20.0,2012-12-05,0,1
20.0,2013-06-05,0,1
20.0,2013-12-05,0,1
20.0,2014-06-05,0,1
20.0,2014-12-05,0,1
20.0,2015-06-05,0,1
20.0,2015-12-07,0,1
20.0,2016-06-07,0,1
20.0,2016-12-07,0,1
20.0,2017-06-07,0,1
20.0,2017-12-07,0,1
20.0,2018-06-07,0,1
20.0,2018-12-07,0,1
20.0,2019-06-07,0,1
20.0,2019-12-09,0,1
20.0,2020-06-09,0,1
20.0,2020-12-09,0,1
20.0,2021-06-09,0,1
20.0,2021-12-09,0,1
20.0,2022-06-09,0,1
20.0,2022-12-09,0,1
20.0,2023-06-09,0,1
20.0,2023-12-11,0,1
20.0,2024-06-11,0,1
20.0,2024-12-11,0,1
20.0,2025-06-11,0,1
20.0,2025-12-11,0,1
