rebalance_date,split,state0_sortino,state1_sortino
2000-05-26,oos,54.32349054113903,-2.346220529076103
2000-05-26,train,14.839238624505391,-3.231189088670059
2000-05-26,validation,14.60027082085112,-2.8250190466635776
2000-11-27,oos,24.738939758105424,-1.9992770310594115
2000-11-27,train,15.621855641051427,-3.090394124803413
2000-11-27,validation,15.976092912891048,-2.728258637945061
2001-05-29,oos,15.5763664544717,-2.2609216225410793
2001-05-29,train,14.895977021201526,-3.03796009768647
2001-05-29,validation,17.51733087319117,-2.5165218463207877
2001-11-29,oos,18.296517552452293,-2.40321817258114
2001-11-29,train,14.325826710230269,-2.8828005512474077
2001-11-29,validation,19.79339283810854,-2.5735411814046976
2002-05-29,oos,86.72028942614601,-3.703596305340155
2002-05-29,train,16.262684957524527,-2.8776066762729853
2002-05-29,validation,20.622355977457186,-2.4755664424886645
2002-11-29,oos,30.371199196104676,-4.716263448407922
2002-11-29,train,14.944430555770166,-2.8963266451031844
2002-11-29,validation,21.721123963083595,-2.802405487958125
2003-05-29,oos,16.842473372835848,-5.9955156222054455
2003-05-29,train,14.890175625686876,-3.0706504424649466
2003-05-29,validation,27.890740599497185,-2.8070480603334618
2003-12-01,oos,9.170826991346244,-3.0351131527630875
2003-12-01,train,14.89922360205405,-3.1445820922301624
2003-12-01,validation,23.326602546254133,-2.966554930074487
2004-06-01,oos,13.089205438657427,-4.106104504678519
2004-06-01,train,13.886111810487323,-2.9827966474415124
2004-06-01,validation,20.5400798800199,-3.1858829340454946
2004-12-01,oos,10.379370184057883,-2.924545868058421
2004-12-01,train,13.931302018571374,-3.1237243571014495
2004-12-01,validation,17.174392240371883,-3.350315819193943
2005-06-01,oos,11.331354878817367,-4.362108557160675
2005-06-01,train,12.901566936402117,-3.4923147134660892
2005-06-01,validation,15.43449755542206,-3.802089168339218
2005-12-01,oos,15.443999995641011,-6.544179644579362
2005-12-01,train,13.192647843119083,-3.251732774403164
2005-12-01,validation,15.24621812146625,-3.9976874679282752
2006-06-01,oos,13.502545742301354,-3.893539060564138
2006-06-01,train,12.474444262731643,-3.418199577381863
2006-06-01,validation,12.529608736142288,-4.298569784862315
2006-12-01,oos,6.472141822048173,-2.298079973139806
2006-12-01,train,11.270469565706476,-3.5948526756016523
2006-12-01,validation,10.073570507207219,-5.000115497299956
2007-06-01,oos,13.888278190437912,-3.0514408937548296
2007-06-01,train,11.019274407197736,-3.810806333016639
2007-06-01,validation,8.493814199314322,-5.13394056256061
2007-12-03,oos,25.46052919566965,-3.3903061579167195
2007-12-03,train,11.040757668351642,-3.7615398180040946
2007-12-03,validation,9.103179330307032,-4.083291957930096
2008-06-03,oos,inf,-2.5161287577649945
2008-06-03,train,11.080431746419801,-3.7524884164461945
2008-06-03,validation,10.346346779881946,-3.7086171359503637
2008-12-03,oos,22.720148108144564,-3.4898293706546264
2008-12-03,train,11.869239569015797,-3.766141144951361
2008-12-03,validation,11.859808874257231,-2.7591592973733285
2009-06-03,oos,13.958774257547956,-5.333258360984262
2009-06-03,train,12.114170351693723,-3.8472628249397
2009-06-03,validation,13.0897766763389,-2.813175965077893
2009-12-03,oos,11.199474710539128,-4.8179435152798264
2009-12-03,train,12.176946323518916,-3.8310564163297816
2009-12-03,validation,13.725320040226864,-2.9270771304738132
2010-06-03,oos,12.431722051024227,-2.663192221763537
2010-06-03,train,11.211948777914749,-3.838965465989718
2010-06-03,validation,13.203520350524988,-3.0338985646404253
2010-12-03,oos,7.801891600356114,-6.694171852047236
2010-12-03,train,11.250241408452217,-3.825536410389021
2010-12-03,validation,13.378918213950266,-2.985675694851342
2011-06-03,oos,18.326132922194425,-3.125549547128138
2011-06-03,train,10.960790370933301,-3.870251935730198
2011-06-03,validation,13.629958866792053,-3.1660087228407723
2011-12-05,oos,15.12318220534386,-8.830875694544975
2011-12-05,train,10.64682541051393,-3.8473324033636125
2011-12-05,validation,14.31107615121054,-3.3190835339876865
2012-06-05,oos,11.693035715700933,-4.060062987156886
2012-06-05,train,10.368774301903548,-3.8843508762356107
2012-06-05,validation,12.267565891903754,-3.5477392637150937
2012-12-05,oos,8.763419542534258,-14.818776302176934
2012-12-05,train,9.701803647070305,-3.6904181393275337
2012-12-05,validation,9.589599359529487,-4.130159663871828
2013-06-05,oos,8.84510196280156,-6.57243434550406
2013-06-05,train,9.36632271552299,-3.7078406060163465
2013-06-05,validation,8.58034410448922,-5.004435441241042
2013-12-05,oos,5.25192609056132,-4.919732044644142
2013-12-05,train,9.219223069473516,-3.7937078045912602
2013-12-05,validation,9.46115910688247,-4.901185707564325
2014-06-05,oos,10.721503979907622,-6.605082472511203
2014-06-05,train,8.964353395604665,-3.7071654457815395
2014-06-05,validation,9.025618603046393,-4.844179652780752
2014-12-05,oos,8.5156609929388,-7.5147457317859985
2014-12-05,train,9.068252038945229,-3.7093182561209157
2014-12-05,validation,8.540887967031399,-5.07751594193888
2015-06-05,oos,12.700156276063643,-4.165373078223983
2015-06-05,train,8.654967545271992,-3.7311357283310866
2015-06-05,validation,9.17571549049,-5.13217277544298
2015-12-07,oos,8.385180743642378,-4.6178051760602745
2015-12-07,train,8.61619136059522,-3.642545559787285
2015-12-07,validation,9.13716046275777,-6.10681495301486
2016-06-07,oos,11.292694072698623,-5.467298897077351
2016-06-07,train,9.140422428927723,-3.7316133756621555
2016-06-07,validation,9.196885622636811,-5.559334172881911
2016-12-07,oos,6.9391941276311835,-10.058599574514906
2016-12-07,train,9.236959349548007,-3.63061251681531
2016-12-07,validation,9.169973578247257,-5.19312609848782
2017-06-07,oos,8.841489282706279,-10.529619396597294
2017-06-07,train,9.346327369508995,-3.636065163213373
2017-06-07,validation,9.085940148089536,-5.0643167983145885
2017-12-07,oos,15.976257580179478,-2.7501360085200868
2017-12-07,train,10.66167290837605,-3.593029930318356
2017-12-07,validation,10.36068411153428,-5.068144434485743
2018-06-07,oos,7.539975323390083,-3.7903804849661027
2018-06-07,train,10.85037356198826,-3.606614432062277
2018-06-07,validation,12.11397793085719,-4.6396185059780555
2018-12-07,oos,8.507032710293446,-2.7370800147561263
2018-12-07,train,11.08882061304897,-3.514920499770425
2018-12-07,validation,12.030748458046153,-4.46498285562869
2019-06-07,oos,10.105878599795773,-2.2350657384494865
2019-06-07,train,11.155025999795036,-3.619460085427826
2019-06-07,validation,10.66476659956561,-3.8691184400369405
2019-12-09,oos,15.614068634628408,-2.8811526237814666
2019-12-09,train,10.252637567636295,-3.5867861480401224
2019-12-09,validation,10.42295068854401,-3.8630731671744973
2020-06-09,oos,9.884195440944456,-4.4824106887763
2020-06-09,train,10.319521325204494,-3.675256003450141
2020-06-09,validation,10.365264223192762,-2.91320104597266
2020-12-09,oos,10.126369242017658,-9.728372222010648
2020-12-09,train,10.47746751605632,-3.711401195969369
2020-12-09,validation,9.681339092184091,-2.952004456344479
2021-06-09,oos,12.706014759170236,-6.4545462206116175
2021-06-09,train,10.616256549611181,-3.6258209851368637
2021-06-09,validation,10.168147444805196,-3.054438541225002
2021-12-09,oos,15.622110188340805,-4.024873986121021
2021-12-09,train,10.65204192281828,-3.6731382932872982
2021-12-09,validation,10.662305004947832,-3.1317986230955475
2022-06-09,oos,14.819710088343895,-3.7728905055444195
2022-06-09,train,12.721534507553864,-3.514548853882982
2022-06-09,validation,10.416523559953252,-3.084113552194307
2022-12-09,oos,18.50030156851601,-5.564676224725321
2022-12-09,train,12.1462332994822,-3.5745567287904807
2022-12-09,validation,11.15684661783719,-3.126575377484145
2023-06-09,oos,12.48473397715209,-4.634889143104512
2023-06-09,train,11.764310685777174,-3.5161599078045485
2023-06-09,validation,12.057201044625607,-3.379327874560015
2023-12-11,oos,8.830662725819574,-6.223782268547161
2023-12-11,train,13.035946352557884,-3.8514531475348206
2023-12-11,validation,12.93024053904096,-3.173113107244976
2024-06-11,oos,10.22973588099338,-3.0822330502049495
2024-06-11,train,13.342047643957725,-3.3921191367683665
2024-06-11,validation,12.435004690523245,-3.8329455966852803
2024-12-11,oos,18.24604218842065,-2.376396362779797
2024-12-11,train,12.864903200139084,-3.441585611736152
2024-12-11,validation,12.186928065732513,-3.833241973407287
2025-06-11,oos,11.175985967203994,-5.818717734844509
2025-06-11,train,12.905346242064077,-3.400799095839889
2025-06-11,validation,13.705806786743828,-3.3884701942408135
2025-12-11,oos,31.65256119009154,-3.3511998821150177
2025-12-11,train,13.273743908782361,-3.414467851119486
2025-12-11,validation,13.413004485409083,-3.2442182568585305
